Machine,fault_name_clean,fault_name_original,id_failure,system,mode_fault,match,,,,
1,    BREAKS,DUE PERFORM MAINTENANCE FAULT BREAKS,24,BREAK,BREAKES,71,,,,
1,501021-A-003 BRAKECHANGE,501021-A-003 DURING BRAKECHANGE,25,BREAK,PEDAL BREAK,34,,,,
1,    TIRE PRESS,DURING DAILY CHECK WAS FOUND TIRE PRESS,26,BREAK,TIRE PRESS,83,,,,
2,ANORMAL PEDAL BREAK,ANORMAL PEDAL BREAK,27,BREAK,PEDAL BREAK,73,,,,
2,50192223-C-005 - PREP VENT BLOWER ,50192223-C-005 - DURING  PREP  VENT BLOWER FAULT,28,AIR,VENT BLOWER,49,,,,
3, VALVE  CIERRA,POSITION VALVE PROBLEM NO CIERRA,29,PRESSURE,VALVE NOT CLSD,57,,,,
3,433109SS6 AIR BLEED  STATUS,433109ss6 AIR BLEED ON MAINTENANCE STATUS,30,PRESSURE,AIR BLEED,50,,,,
3,G/I:      VALVE CLOSED,G/I: DURING DAILY CHECK INSPECTION FOUND VALVE NOT CLOSED,31,AIR,VENT BLOWER,36,,,,
1, MPERFORM   CABIN TEMPERATURE,DUE TO MPERFORM MAINTENANCE PROBLEM CABIN TEMPERATURE,32,AIR,CABIN TEMP,51,,,,
3,TEMPERATURES CONTROLLER TEMP CONTROL , TEMPERATURES  CONTROLLER TEMP CONTROL FAULT,33,AIR,CABIN TEMP,30,,,,
2,AUH23200249 VALVE AIR DAMAGED,AUH23200249 VALVE AIR DAMAGED,34,AIR,CABIN AIR,26,,,,
1,"340536, G/I    VEN BLOWER","340536, G/I MSG FOUND VEN Blower",35,AIR,VENT BLOWER,56,,,,
1,AIR COND TEMPERATURE INDICATION CONTROL ABNORMAL,AIR COND TEMPERATURE INDICATION AND CONTROL ABNORMAL,36,AIR,CABIN TEMP,28,,,,
3,CABIN AIR   PRESSURE LOW,CABIN AIR PROBLEM BY FAULT PRESSURE LOW,37,PRESSURE,PRESSURE LOW,67,,,,
1,VENT EXTRACT ,VENT EXTRACT FAULT,38,AIR,VENT BLOWER,58,,,,
2, PROCEDURE AIR BLEED ,from MAINTENANCE PROCEDURE AIR BLEED FAULT,39,AIR,CABIN AIR,33,,,,
3,PACK AIR CONDITION DAMAGED  TEMPERATURE,PACK AIR CONDITION DAMAGED PROBLEM TEMPERATURE,40,AIR,CABIN TEMP,37,,,,
1,PRESSURE LOW ,PRESSURE LOW DURING INSPECTION,41,PRESSURE,PRESSURE LOW,96,,,,
1,#2 HP VALVE SECURED CLOSED ,#2 HP VALVE SECURED IN THE CLOSED POSITION,42,PRESSURE,VALVE NOT CLSD,54,,,,
1,TASKCARD    VENT BLOWEE VALVE INOP,DURING TASKCARD  INSPECTION WAS FOUND VENT BLOWEE AND VALVE INOP,43,AIR,VENT BLOWER,44,,,,
1, ROUTINE VENT SKIN ,DURING INSPECTION ROUTINE VENT SKIN Problem,44,AIR,VENT SKIN,64,,,,
3,AVIONIC AIR CONDITIONING INLET VALVE ,avionic air conditioning inlet valve fault,45,AIR,CABIN AIR,30,,,,
1, CABINA BAJA  BAJA  ELEVADA MOMENTO,TEMPERATURA DE CABINA MUY BAJA  REPORTA BAJA TEMPERATURA ELEVADA EN TODO MOMENTO,46,AIR,CABIN TEMP,36,,,,
1,VALVE SECURED CLOSED ,VALVE SECURED IN THE CLOSED POSITION,47,PRESSURE,VALVE NOT CLSD,63,,,,
1,   VENT BLOWEE,DURING   INSPECTION WAS FOUND VENT BLOWEE ,48,AIR,VENT BLOWER,80,,,,
1,VALVE SECURED CLOSED ,VALVE SECURED IN THE CLOSED POSITION,49,PRESSURE,VALVE NOT CLSD,63,,,,
1,  VENT VLOWER , WAS FOUND VENT vLOWER fault,50,AIR,VENT BLOWER,80,,,,
